27773, hacker Ville, artist's co-living space, Latoya Williams's room, sp-A
27783, hacker Ville, artist's co-living space, Rajiv Patel's room, sp-A
27793, hacker Ville, artist's co-living space, Rajiv Patel's room, sp-B
27803, hacker Ville, artist's co-living space, Abigail Chen's room, sp-A
27774, hacker Ville, artist's co-living space, Francisco Lopez's room, sp-A
27784, hacker Ville, artist's co-living space, Hailey Johnson's room, sp-A
27794, hacker Ville, White Hacker's house, main room, sp-A
27804, hacker Ville, White Hacker's house, main room, sp-B
27775, hacker Ville, Ryan Park's house, main room, sp-A
27785, hacker Ville, Ryan Park's house, main room, sp-B
27795, hacker Ville, Isabella Rodriguez's house, main room, sp-A
27805, hacker Ville, Isabella Rodriguez's house, main room, sp-B
27776, hacker Ville, Giorgio Rossi's house, main room, sp-A
27786, hacker Ville, Giorgio Rossi's house, main room, sp-B
27796, hacker Ville, Carlos Gomez's house, main room, sp-A
27806, hacker Ville, Carlos Gomez's house, main room, sp-B
27777, hacker Ville, Adam Smith's house, main room, sp-A
27787, hacker Ville, Adam Smith's house, main room, sp-B
27797, hacker Ville, Black Hacker's house, main room, sp-A
27807, hacker Ville, Black Hacker's house, main room, sp-B
27778, hacker Ville, Moore family's house, main room, sp-A
27788, hacker Ville, Moore family's house, main room, sp-B
27798, hacker Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-A
27808, hacker Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-B
27779, hacker Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-A
27789, hacker Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-B
27799, hacker Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
27809, hacker Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B
27780, hacker Ville, Moreno family's house, empty bedroom, sp-A
27790, hacker Ville, Moreno family's house, empty bedroom, sp-B
27800, hacker Ville, Lin family's house, Mei and John Lin's bedroom, sp-A
27810, hacker Ville, Lin family's house, Mei and John Lin's bedroom, sp-B
27781, hacker Ville, Lin family's house, Eddy Lin's bedroom, sp-A
27791, hacker Ville, Lin family's house, Eddy Lin's bedroom, sp-B
27801, hacker Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-A
27811, hacker Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-B
27782, hacker Ville, Dorm for Oak Hill College, Maria Lopez's room, sp-A
27792, hacker Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-A
27802, hacker Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-B
27812, hacker Ville, Dorm for Oak Hill College, Wolfgang Schulz's room, sp-A
