27626, old Ville, artist's co-living space, Latoya Williams's room
27636, old Ville, artist's co-living space, Latoya Williams's bathroom
27646, old Ville, artist's co-living space, Rajiv Patel's room
27656, old Ville, artist's co-living space, Rajiv Patel's bathroom
27666, old Ville, artist's co-living space, Abigail Chen's room
27676, old Ville, artist's co-living space, Abigail Chen's bathroom
27686, old Ville, artist's co-living space, Francisco Lopez's room
27627, old Ville, artist's co-living space, Francisco Lopez's bathroom
27637, old Ville, artist's co-living space, Hailey Johnson's room
27647, old Ville, artist's co-living space, Hailey Johnson's bathroom
27667, old Ville, artist's co-living space, common room
27677, old Ville, artist's co-living space, kitchen
27687, old Ville, White Hacker's house, main room
27628, old Ville, White Hacker's house, bathroom
27638, old Ville, White Hacker's house, kitchen
27648, old Ville, White Hacker's house, living room
27658, old Ville, Isabella Rodriguez's house, main room
27668, old Ville, Isabella Rodriguez's house, bathroom
27678, old Ville, Isabella Rodriguez's house, kitchen
27688, old Ville, Giorgio Rossi's house, bathroom
27629, old Ville, Carlos Gomez's house, main room
27639, old Ville, Carlos Gomez's house, bathroom
27649, old Ville, The Rose and Crown Pub, pub
27659, old Ville, Hobbs Cafe, cafe
27669, old Ville, Public Bathroom, bathroom
27679, old Ville, Oak Hill College, library
27689, old Ville, Oak Hill College, hallway
27630, old Ville, Johnson Park, park
27640, old Ville, Harvey Oak Supply Store, supply store
27650, old Ville, The Willows Market and Pharmacy, store
27681, old Ville, Adam Smith's house, main room
27691, old Ville, Adam Smith's house, bathroom
27662, old Ville, Black Hacker's house, main room
27672, old Ville, Black Hacker's house, bathroom
27682, old Ville, Black Hacker's house, kitchen
27692, old Ville, Black Hacker's house, living room
27660, old Ville, Dorm for Oak Hill College, Klaus Mueller's room
27670, old Ville, Dorm for Oak Hill College, Maria Lopez's room
27680, old Ville, Dorm for Oak Hill College, Ayesha Khan's room
27690, old Ville, Dorm for Oak Hill College, Wolfgang Schulz's room
27631, old Ville, Dorm for Oak Hill College, man's bathroom
27641, old Ville, Dorm for Oak Hill College, woman's bathroom
27651, old Ville, Dorm for Oak Hill College, common room
27661, old Ville, Dorm for Oak Hill College, kitchen
27671, old Ville, Dorm for Oak Hill College, garden
27693, old Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room
27703, old Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room
27713, old Ville, Tamara Taylor and Carmen Ortiz's house, common room
27723, old Ville, Tamara Taylor and Carmen Ortiz's house, kitchen
27733, old Ville, Tamara Taylor and Carmen Ortiz's house, bathroom
27743, old Ville, Tamara Taylor and Carmen Ortiz's house, garden
27753, old Ville, Moreno family's house, Tom and Jane Moreno's bedroom
27763, old Ville, Moreno family's house, empty bedroom
27694, old Ville, Moreno family's house, common room
27704, old Ville, Moreno family's house, kitchen
27714, old Ville, Moreno family's house, bathroom
27724, old Ville, Moreno family's house, garden
27734, old Ville, Lin family's house, Mei and John Lin's bedroom
27744, old Ville, Lin family's house, Eddy Lin's bedroom
27754, old Ville, Lin family's house, common room
27764, old Ville, Lin family's house, kitchen
27695, old Ville, Lin family's house, bathroom
27705, old Ville, Lin family's house, garden
