27623, old Ville, artist's co-living space
27633, old Ville, White Hacker's house
27643, old Ville, Ryan Park's house 
27653, old Ville, Isabella Rodriguez's house
27663, old Ville, Giorgio Rossi's house
27673, old Ville, Carlos Gomez's house
27683, old Ville, The Rose and Crown Pub
27624, old Ville, Hobbs Cafe
27634, old Ville, Oak Hill College
27644, old Ville, Johnson Park
27654, old Ville, Public Bathroom
27664, old Ville, The Willows Market and Pharmacy
27674, old Ville, Adam Smith's house
27684, old Ville, Black Hacker's house
27625, old Ville, Moore family's house
27635, old Ville, Tamara Taylor and Carmen Ortiz's house
27645, old Ville, Moreno family's house
27655, old Ville, Lin family's house
27665, old Ville, Dorm for Oak Hill College
