27773, old Ville, artist's co-living space, Latoya Williams's room, sp-A
27783, old Ville, artist's co-living space, Rajiv Patel's room, sp-A
27793, old Ville, artist's co-living space, Rajiv Patel's room, sp-B
27803, old Ville, artist's co-living space, Abigail Chen's room, sp-A
27774, old Ville, artist's co-living space, Francisco Lopez's room, sp-A
27784, old Ville, artist's co-living space, Hailey Johnson's room, sp-A
27794, old Ville, White Hacker's house, main room, sp-A
27804, old Ville, White Hacker's house, main room, sp-B
27775, old Ville, Ryan Park's house, main room, sp-A
27785, old Ville, Ryan Park's house, main room, sp-B
27795, old Ville, Isabella Rodriguez's house, main room, sp-A
27805, old Ville, Isabella Rodriguez's house, main room, sp-B
27776, old Ville, Giorgio Rossi's house, main room, sp-A
27786, old Ville, Giorgio Rossi's house, main room, sp-B
27796, old Ville, Carlos Gomez's house, main room, sp-A
27806, old Ville, Carlos Gomez's house, main room, sp-B
27777, old Ville, Adam Smith's house, main room, sp-A
27787, old Ville, Adam Smith's house, main room, sp-B
27797, old Ville, Black Hacker's house, main room, sp-A
27807, old Ville, Black Hacker's house, main room, sp-B
27778, old Ville, Moore family's house, main room, sp-A
27788, old Ville, Moore family's house, main room, sp-B
27798, old Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-A
27808, old Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-B
27779, old Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-A
27789, old Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-B
27799, old Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
27809, old Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B
27780, old Ville, Moreno family's house, empty bedroom, sp-A
27790, old Ville, Moreno family's house, empty bedroom, sp-B
27800, old Ville, Lin family's house, Mei and John Lin's bedroom, sp-A
27810, old Ville, Lin family's house, Mei and John Lin's bedroom, sp-B
27781, old Ville, Lin family's house, Eddy Lin's bedroom, sp-A
27791, old Ville, Lin family's house, Eddy Lin's bedroom, sp-B
27801, old Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-A
27811, old Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-B
27782, old Ville, Dorm for Oak Hill College, Maria Lopez's room, sp-A
27792, old Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-A
27802, old Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-B
27812, old Ville, Dorm for Oak Hill College, Wolfgang Schulz's room, sp-A
